< KEYWORD , int , (1 , 0) >
< ID , a , (1 , 4) >
< OPERATOR_ASSIGN , = , (1 , 5) >
< NUM , 1 , (1 , 6) >
< SEPARATOR_SEMICOLON , ; , (1 , 7) >
< COMMENT , hhh\n nihao   a\n , (2 , 0) >
< KEYWORD , void , (6 , 0) >
< ID , sum , (6 , 5) >
< SEPARATOR_LEFT_PARENTHESIS , ( , (6 , 9) >
< KEYWORD , int , (6 , 10) >
< ID , a , (6 , 14) >
< SEPARATOR_COMMA , , , (6 , 15) >
< KEYWORD , int , (6 , 16) >
< ID , b , (6 , 20) >
< SEPARATOR_RIGHT_PARENTHESIS , ) , (6 , 21) >
< SEPARATOR_LEFT_BRACE , { , (7 , 0) >
< KEYWORD , if , (8 , 4) >
< SEPARATOR_LEFT_PARENTHESIS , ( , (8 , 6) >
< ID , a , (8 , 7) >
< OPERATOR_GREATER_EQUAL , >= , (8 , 9) >
< ID , b , (8 , 12) >
< SEPARATOR_RIGHT_PARENTHESIS , ) , (8 , 13) >
< KEYWORD , return , (9 , 8) >
< ID , a , (9 , 15) >
< SEPARATOR_SEMICOLON , ; , (9 , 16) >
< KEYWORD , else , (10 , 4) >
< KEYWORD , if , (10 , 9) >
< SEPARATOR_LEFT_PARENTHESIS , ( , (10 , 11) >
< ID , a , (10 , 12) >
< OPERATOR_LESS , < , (10 , 14) >
< ID , b , (10 , 16) >
< SEPARATOR_RIGHT_PARENTHESIS , ) , (10 , 17) >
< KEYWORD , return , (11 , 8) >
< ID , b , (11 , 15) >
< SEPARATOR_SEMICOLON , ; , (11 , 16) >
< SEPARATOR_RIGHT_BRACE , } , (12 , 0) >
< KEYWORD , while , (14 , 0) >
< SEPARATOR_LEFT_PARENTHESIS , ( , (14 , 5) >
< ID , a , (14 , 7) >
< SEPARATOR_LEFT_BRACKET , [ , (14 , 8) >
< NUM , 0 , (14 , 9) >
< SEPARATOR_RIGHT_BRACKET , ] , (14 , 10) >
< OPERATOR_EQUAL , == , (14 , 12) >
< NUM , 0 , (14 , 15) >
< SEPARATOR_RIGHT_PARENTHESIS , ) , (14 , 16) >
< SEPARATOR_LEFT_BRACE , { , (15 , 0) >
< ID , a , (16 , 4) >
< SEPARATOR_LEFT_BRACKET , [ , (16 , 5) >
< NUM , 0 , (16 , 6) >
< SEPARATOR_RIGHT_BRACKET , ] , (16 , 7) >
< OPERATOR_MULTIPLY , * , (16 , 9) >
< OPERATOR_DIVIDE , / , (16 , 9) >
< NUM , 1 , (16 , 11) >
< OPERATOR_DIVIDE , / , (16 , 13) >
< NUM , 1 , (16 , 15) >
< OPERATOR_PLUS , + , (16 , 17) >
< OPERATOR_MINUS , - , (16 , 17) >
< OPERATOR_MULTIPLY , * , (16 , 17) >
< OPERATOR_DIVIDE , / , (16 , 17) >
< NUM , 1 , (16 , 19) >
< OPERATOR_MINUS , - , (16 , 21) >
< OPERATOR_MULTIPLY , * , (16 , 21) >
< OPERATOR_DIVIDE , / , (16 , 21) >
< NUM , 1 , (16 , 23) >
< SEPARATOR_SEMICOLON , ; , (16 , 24) >
< SEPARATOR_RIGHT_BRACE , } , (17 , 0) >
