< KEYWORD , void , (1 , 0) >
< ID , main , (1 , 5) >
< SEPARATOR , ( , (1 , 9) >
< KEYWORD , int , (1 , 10) >
< ID , a , (1 , 14) >
< SEPARATOR , ) , (1 , 15) >
< SEPARATOR , { , (1 , 17) >
< KEYWORD , int , (2 , 2) >
< ID , a , (2 , 6) >
< SEPARATOR , ; , (2 , 7) >
< KEYWORD , int , (3 , 2) >
< ID , b , (3 , 6) >
< SEPARATOR , [ , (3 , 7) >
< NUM , 5 , (3 , 8) >
< SEPARATOR , ] , (3 , 9) >
< SEPARATOR , ; , (3 , 10) >
< KEYWORD , int , (4 , 2) >
< ID , c , (4 , 6) >
< SEPARATOR , ; , (4 , 7) >
< ID , a , (5 , 2) >
< OPERATOR , = , (5 , 4) >
< NUM , 5 , (5 , 6) >
< SEPARATOR , ; , (5 , 7) >
< ID , b , (6 , 2) >
< SEPARATOR , [ , (6 , 3) >
< NUM , 0 , (6 , 4) >
< SEPARATOR , ] , (6 , 5) >
< OPERATOR , = , (6 , 7) >
< ID , a , (6 , 9) >
< SEPARATOR , ; , (6 , 10) >
< ID , c , (7 , 2) >
< OPERATOR , = , (7 , 4) >
< ID , add , (7 , 6) >
< SEPARATOR , ( , (7 , 9) >
< NUM , 10 , (7 , 10) >
< SEPARATOR , ) , (7 , 12) >
< SEPARATOR , ; , (7 , 13) >
< KEYWORD , return , (8 , 2) >
< ID , a , (8 , 9) >
< SEPARATOR , ; , (8 , 10) >
< SEPARATOR , } , (9 , 0) >
< KEYWORD , int , (11 , 0) >
< ID , max , (11 , 4) >
< SEPARATOR , ( , (11 , 7) >
< KEYWORD , int , (11 , 8) >
< ID , a , (11 , 12) >
< SEPARATOR , ) , (11 , 13) >
< SEPARATOR , { , (11 , 15) >
< KEYWORD , if , (12 , 2) >
< SEPARATOR , ( , (12 , 5) >
< ID , a , (12 , 6) >
< OPERATOR , > , (12 , 8) >
< ID , b , (12 , 10) >
< SEPARATOR , ) , (12 , 11) >
< KEYWORD , return , (13 , 4) >
< ID , a , (13 , 11) >
< SEPARATOR , ; , (13 , 12) >
< KEYWORD , else , (14 , 2) >
< KEYWORD , return , (15 , 4) >
< ID , b , (15 , 11) >
< SEPARATOR , ; , (15 , 12) >
< SEPARATOR , } , (16 , 0) >
< KEYWORD , int , (18 , 0) >
< ID , add , (18 , 4) >
< SEPARATOR , ( , (18 , 7) >
< KEYWORD , int , (18 , 8) >
< ID , x , (18 , 12) >
< SEPARATOR , , , (18 , 13) >
< KEYWORD , int , (18 , 14) >
< ID , y , (18 , 18) >
< SEPARATOR , ) , (18 , 19) >
< SEPARATOR , { , (18 , 21) >
< KEYWORD , return , (19 , 2) >
< ID , x , (19 , 9) >
< OPERATOR , + , (19 , 11) >
< ID , y , (19 , 13) >
< SEPARATOR , ; , (19 , 14) >
< SEPARATOR , } , (20 , 0) >
